Husqvarna FE 350s,2021,Enduro / offroad,0,0,0,349.7,220.0,0,11299.0
Husqvarna FE 501s,2021,Enduro / offroad,0,0,0,510.4,220.0,0,11699.0
Indian Challenger Dark Horse,2021,Custom / cruiser,122.0,0,173.6,1769.9,298.0,377.0,27999.0
Indian Challenger Limited,2021,Custom / cruiser,122.0,0,173.6,1769.9,298.0,381.0,28745.0
Indian Chieftain ,2021,Custom / cruiser,0,0,161.6,1811.0,300.0,372.0,21999.0
Indian Chieftain Dark Horse,2021,Custom / cruiser,0,0,168.0,1890.0,300.0,376.0,29745.0
Indian Chieftain Elite,2021,Custom / cruiser,0,0,168.0,1890.0,300.0,379.0,34999.0
Indian Chieftain Limited,2021,Custom / cruiser,92.0,0,170.9,1901.0,300.0,376.0,27999.0
Indian FTR 1200,2021,Custom / cruiser,123.0,0,117.9,1203.0,265.0,230.0,11490.0
Indian FTR 1200 S,2021,Custom / cruiser,123.0,0,117.9,1203.0,265.0,235.0,13999.0
Indian FTR Rally,2021,Custom / cruiser,123.0,0,120.0,1203.0,265.0,239.0,13499.0
Indian Roadmaster,2021,Touring,92.0,0,170.9,1901.0,300.0,420.0,29999.0
Indian Roadmaster Dark Horse,2021,Touring,92.0,0,170.9,1901.0,300.0,408.0,2999.0
Indian Roadmaster Elite,2021,Touring,92.0,0,170.9,1901.0,300.0,420.0,38999.0
Indian Roadmaster Limited,2021,Touring,92.0,0,170.9,1901.0,300.0,403.0,30749.0
Indian Scout ,2021,Custom / cruiser,100.0,0,97.6,1133.0,298.0,254.0,11499.0
Indian Scout Bobber,2021,Custom / cruiser,100.0,0,97.6,1133.0,298.0,251.0,10999.0
Indian Scout Bobber Sixty,2021,Custom / cruiser,78.0,0,88.8,999.0,298.0,249.0,8999.0
Indian Scout Bobber Twenty,2021,Custom / cruiser,100.0,0,97.7,1133.0,298.0,264.0,11999.0
Indian Scout Sixty,2021,Custom / cruiser,78.0,0,88.8,999.0,298.0,247.0,10299.0
Indian Springfield,2021,Touring,92.0,0,161.6,1811.0,300.0,376.0,21999.0
Indian Springfield Dark Horse,2021,Touring,92.0,0,168.0,1890.0,300.0,358.0,22499.0
Indian Vintage,2021,Custom / cruiser,92.0,0,161.6,1811.0,300.0,379.0,20499.0
Indian Vintage Dark Horse,2021,Custom / cruiser,92.0,0,161.6,1811.0,300.0,357.0,19499.0
KTM 125 SX,2021,Enduro / offroad,15.0,0,0,124.8,220.0,0,7399.0
KTM 125 XC,2021,Enduro / offroad,15.0,0,0,124.8,220.0,0,7599.0
KTM 150 EXC TPI,2021,Enduro / offroad,0,0,0,143.7,220.0,0,8999.0
KTM 150 SX,2021,Cross / motocross,0,0,0,144.0,220.0,0,7599.0
KTM 150 XC-W TPI,2021,Enduro / offroad,0,0,0,144.0,220.0,0,8999.0
KTM 250 SX,2021,Cross / motocross,0,0,0,249.0,220.0,0,8399.0
KTM 250 XC TPI,2021,Enduro / offroad,0,0,0,249.0,220.0,0,9999.0
KTM 250 XC-F,2021,Enduro / offroad,0,0,0,249.9,220.0,0,9699.0
KTM 250 XC-W TPI,2021,Enduro / offroad,0,0,0,249.0,220.0,0,9999.0
KTM 300 XC TPI,2021,Enduro / offroad,0,0,0,293.2,220.0,0,10199.0
KTM 300 XC-W TPI,2021,Enduro / offroad,0,0,0,293.2,220.0,0,10199.0
KTM 300 XC-W TPI Erzbergrodeo,2021,Enduro / offroad,0,0,0,293.2,220.0,0,11499.0
KTM 350 EXC-F,2021,Enduro / offroad,0,0,0,349.7,220.0,0,11190.0
KTM 350 XC-F,2021,Enduro / offroad,0,0,0,349.7,220.0,0,10699.0
KTM 450 SMR,2021,Super motard,0,0,0,449.3,220.0,0,11299.0
KTM 450 SX-F,2021,Cross / motocross,63.0,0,0,449.3,220.0,0,10199.0
KTM 450 XC-F,2021,Enduro / offroad,0,0,0,449.3,220.0,0,10799.0
KTM 50 SX,2021,Minibike-cross,0,0,0,124.8,160.0,0,4399.0
KTM 50 SX Factory,2021,Minibike-cross,0,0,0,124.8,160.0,0,5199.0
KTM 500 EXC-F,2021,Enduro / offroad,0,0,0,510.9,220.0,0,11590.0
KTM 500 XCF-W,2021,Enduro / offroad,0,0,0,510.9,220.0,0,11190.0
KTM 65 SX,2021,Minibike-cross,0,0,0,64.9,160.0,0,5099.0
KTM 85 SX 17-14,2021,Cross / motocross,0,0,0,84.9,220.0,0,6099.0
KTM 85 SX 19-16,2021,Cross / motocross,0,0,0,84.9,210.0,0,6299.0
KTM SX-E 5,2021,Sport,6.7,0,13.8,0,160.0,0,5099.0
Kawasaki KFX50,2021,ATV,0,0,0,49.5,0,111.0,1999.0
Kawasaki KFX90,2021,ATV,0,0,0,90.0,0,121.0,2599.0
Kawasaki KLX 110R,2021,Enduro / offroad,0,0,0,112.0,110.0,76.0,2349.0
Kawasaki KLX 110R L,2021,Enduro / offroad,0,0,0,112.0,110.0,76.2,2549.0
Kawasaki KLX 140R,2021,Enduro / offroad,0,0,0,144.0,186.0,93.0,3149.0
Kawasaki KLX 140R F,2021,Enduro / offroad,0,0,0,144.0,186.0,99.0,3749.0
Kawasaki KLX 140R L,2021,Enduro / offroad,0,0,0,144.0,186.0,95.0,3449.0
Kawasaki KLX 230R,2021,Enduro / offroad,0,0,0,233.0,220.0,133.0,4599.0
Kawasaki KLX230,2021,Enduro / offroad,0,0,0,233.0,220.0,133.0,4599.0
Kawasaki KLX250,2021,Super motard,0,0,20.6,249.0,240.0,138.0,5399.0
Kawasaki KLX300R,2021,Enduro / offroad,0,0,0,292.0,240.0,0,5499.0
Kawasaki KX100,2021,Cross / motocross,0,0,0,99.0,184.0,77.0,4649.0
Kawasaki KX250,2021,Cross / motocross,0,0,0,249.0,240.0,107.3,8299.0
Kawasaki KX250X,2021,Cross / motocross,0,0,0,249.0,240.0,0,8399.0
Kawasaki KX450,2021,Cross / motocross,0,0,0,449.0,250.0,110.0,9399.0
Kawasaki KX450X,2021,Cross / motocross,0,0,0,449.0,250.0,0,9599.0
Kawasaki KX65,2021,Cross / motocross,0,0,0,64.7,180.0,60.0,3749.0
Kawasaki KX85,2021,Cross / motocross,0,0,0,84.0,184.0,75.0,4399.0
Kawasaki Ninja 1000SX,2021,Sport,200.0,0,113.5,1043.0,250.0,233.1,12599.0
Kawasaki Ninja 400,2021,Sport,0,0,0,399.0,220.0,0,4999.0
Kawasaki Ninja 650,2021,Sport,52.3,0,56.0,649.0,220.0,192.1,7599.0
Kawasaki Ninja H2,2021,Sport,228.0,0,141.7,998.0,250.0,238.1,29500.0
Kawasaki Ninja H2 Carbon,2021,Sport,228.0,0,142.2,998.0,250.0,237.7,33000.0
Kawasaki Ninja H2 SX SE Plus,2021,Sport,228.0,0,141.7,998.0,250.0,261.7,25000.0
Kawasaki Ninja H2R,2021,Sport,228.0,0,141.7,998.0,250.0,215.9,55000.0
Kawasaki Ninja ZX-14R,2021,Sport,0,0,158.0,1441.0,250.0,269.0,15199.0
Kawasaki Ninja ZX-6R,2021,Sport,126.2,0,70.8,636.0,210.0,195.0,10199.0
Kawasaki Versys 1000 SE LT Plus,2021,Sport touring,120.0,0,102.0,1043.0,250.0,257.1,18199.0
Kawasaki Versys 650,2021,Allround,69.0,0,64.0,649.0,250.0,0,9299.0
Kawasaki Versys 650 LT,2021,Allround,52.3,0,57.0,649.0,250.0,0,9299.0
Kawasaki Versys-X 300,2021,Allround,0,0,26.0,296.0,0,0,5899.0
Kawasaki Vulcan 1700 Vaquero,2021,Touring,0,0,145.9,1700.0,300.0,406.1,16999.0
Kawasaki Vulcan 1700 Voyager,2021,Touring,73.0,0,145.9,1700.0,300.0,406.1,17699.0
Kawasaki Vulcan 900 Classic,2021,Custom / cruiser,49.6,0,78.0,903.0,270.0,298.1,8199.0
Kawasaki Vulcan 900 Classic LT,2021,Custom / cruiser,49.6,0,78.0,903.0,270.0,298.1,9199.0
Kawasaki Vulcan 900 Custom,2021,Custom / cruiser,49.6,0,78.0,903.0,270.0,276.7,8699.0
Kawasaki Vulcan S ,2021,Custom / cruiser,60.4,0,63.0,649.0,250.0,226.0,7199.0
Kawasaki Vulcan S  Cafe,2021,Custom / cruiser,48.0,0,62.8,649.0,250.0,228.0,8199.0
Kawasaki Z H2,2021,Naked bike,0,0,137.0,998.0,250.0,239.0,17500.0
Kawasaki Z125 Pro,2021,Naked bike,14.8,0,11.7,125.0,184.0,102.0,3299.0
Kawasaki Z400,2021,Classic,27.0,147.0,38.0,399.0,220.0,165.0,4999.0
Kawasaki Z650,2021,Naked bike,67.3,0,65.7,649.0,220.0,187.0,7249.0
Kawasaki Z900,2021,Naked bike,0,0,99.1,948.0,250.0,212.1,8999.0
Kawasaki Z900RS,2021,Classic,110.0,0,98.5,948.0,250.0,215.1,11299.0
Kawasaki Z900RS Cafe,2021,Classic,110.0,0,98.5,948.0,250.0,216.1,11899.0
Soriano Giaguaro V1 Gara,2021,Sport,40.2,0,77.6,0,0,0,39000.0
Soriano Giaguaro V1R,2021,Sport,80.0,0,144.8,0,0,0,36500.0
Soriano Giaguaro V1S,2021,Naked bike,80.0,0,144.8,0,0,0,36600.0
Suzuki DR-Z125L,2021,Enduro / offroad,0,0,0,124.0,0,89.0,3349.0
Suzuki DR-Z400S,2021,Enduro / offroad,0,0,0,398.0,220.0,144.0,6899.0
Suzuki DR-Z400SM,2021,Super motard,0,0,0,398.0,240.0,146.0,7499.0
Suzuki DR-Z50,2021,Minibike-cross,0,0,0,49.0,0,54.0,1799.0
Suzuki GSX-R1000R Anniversary,2021,Sport,185.0,0,117.0,999.0,220.0,202.0,17999.0
Suzuki GSX-R600 Anniversary,2021,Sport,0,0,0,599.0,310.0,187.0,11599.0
Suzuki GSX-R750 Anniversary,2021,Sport,150.0,0,86.2,750.0,220.0,190.0,12699.0
Suzuki QuadSport Z50,2021,ATV,0,0,0,49.0,0,79.0,2149.0
Suzuki QuadSport Z90,2021,ATV,0,0,0,90.0,0,127.0,2999.0
Suzuki RM-Z250,2021,Cross / motocross,0,0,0,249.0,270.0,106.0,7899.0
Suzuki RM-Z450,2021,Cross / motocross,0,0,0,449.0,270.0,112.0,8999.0
Suzuki RM85,2021,Cross / motocross,0,0,0,84.7,200.0,73.0,4299.0
Triumph Trident 660,2021,Naked bike,891.0,0,63.7,660.0,255.0,0,7995.0
Ural Gear Up,2021,Classic,41.0,112.7,52.0,749.0,256.0,0,17549.0
Vespa Primavera Sean Wotherspoon 150,2021,Scooter,12.9,95.0,12.8,155.0,140.0,0,5749.0
Vespa Primavera Sean Wotherspoon 50,2021,Scooter,3.2,0,0,49.9,140.0,0,4399.0
Yamaha MT-07,2021,Sport,74.0,0,68.0,689.0,245.0,184.2,7699.0
Yamaha MT-09,2021,Naked bike,0,0,0,890.0,245.0,189.2,9399.0
Yamaha MT-09 SP,2021,Naked bike,0,0,0,890.0,245.0,190.1,10999.0
Yamaha NMAX 155,2021,Scooter,12.1,0,14.4,155.0,230.0,127.0,2195.0
Yamaha Tenere 700,2021,Sport touring,73.8,0,68.0,689.0,245.0,205.0,9999.0
Yamaha WR450F,2021,Enduro / offroad,0,0,0,450.0,245.0,118.8,9799.0
Yamaha YZF-R1,2021,Sport,200.0,0,112.4,998.0,220.0,203.2,17399.0
Yamaha YZF-R1M,2021,Sport,200.0,0,112.0,998.0,220.0,204.1,26099.0
Yamaha YZF-R3,2021,Sport,42.0,0,29.6,321.0,220.0,166.9,5299.0
Yamaha YZF-R3 Monster Energy,2021,Sport,42.0,0,29.6,321.0,220.0,166.9,5599.0
Yamaha Zuma 125,2021,Scooter,0,0,0,125.0,200.0,118.8,3599.0
BMW C 650 GT,2020,Scooter,60.0,180.0,63.0,647.0,270.0,261.0,10995.0
BMW C 650 GT,2020,Scooter,60.0,180.0,63.0,647.0,270.0,261.0,10995.0
BMW F 750 GS,2020,Enduro / offroad,77.0,190.0,83.0,853.0,265.0,224.0,10395.0
BMW F 750 GS,2020,Enduro / offroad,77.0,190.0,83.0,853.0,265.0,224.0,10395.0
BMW R 1250 R,2020,Naked bike,136.0,0,143.0,1254.0,276.0,239.0,14999.0
BMW R 1250 R,2020,Naked bike,136.0,0,143.0,1254.0,276.0,239.0,14999.0
BMW R 1250 RS,2020,Enduro / offroad,136.0,201.2,143.0,1254.0,276.0,243.0,15695.0
BMW R 1250 RS,2020,Enduro / offroad,136.0,201.2,143.0,1254.0,276.0,243.0,15695.0
BMW R 1250 RT,2020,Enduro / offroad,134.1,201.0,143.0,1254.0,276.0,0,15695.0
BMW R 1250 RT,2020,Enduro / offroad,134.1,201.0,143.0,1254.0,276.0,0,15695.0
BMW S 1000 RR,2020,Sport,205.0,200.0,112.6,999.0,220.0,197.0,16995.0
BMW S 1000 RR,2020,Sport,205.0,200.0,112.6,999.0,220.0,197.0,16995.0
Benelli 302 S,2020,Naked bike,37.6,0,25.6,300.0,240.0,185.0,4299.0
Benelli 302 S,2020,Naked bike,37.6,0,25.6,300.0,240.0,185.0,4299.0
Benelli Caffenero 150,2020,Scooter,13.1,0,9.8,150.1,0,0,2499.0
Benelli Caffenero 150,2020,Scooter,13.1,0,9.8,150.1,0,0,2499.0
Benelli Caffenero 150,2020,Scooter,13.1,0,9.8,150.1,0,0,2499.0
Benelli Caffenero 150,2020,Scooter,13.1,0,9.8,150.1,0,0,2499.0
Benelli TNT 135,2020,Minibike-sport,11.3,0,10.0,134.7,190.0,0,2699.0
Benelli TNT 135,2020,Minibike-sport,11.3,0,10.0,134.7,190.0,0,2699.0
Benelli Tornado Naked T 600,2020,Naked bike,67.1,0,48.0,599.6,260.0,0,5999.0
Benelli Tornado Naked T 600,2020,Naked bike,67.1,0,48.0,599.6,260.0,0,5999.0
Benelli Zafferano 250,2020,Scooter,18.1,0,20.0,249.8,0,194.0,3399.0
Benelli Zafferano 250,2020,Scooter,18.1,0,20.0,249.8,0,194.0,3399.0
Brough Superior AMB 001,2020,Sport,180.0,0,0,997.0,0,0,108000.0
Brough Superior AMB 001,2020,Sport,180.0,0,0,997.0,0,0,108000.0
California Scooter RX4,2020,Allround,40.2,152.9,0,450.0,0,0,5395.0
California Scooter RX4,2020,Allround,40.2,152.9,0,450.0,0,0,5395.0
California Scooter SG250 San Gabriel,2020,Allround,0,0,0,223.0,0,0,2295.0
California Scooter SG250 San Gabriel,2020,Allround,0,0,0,223.0,0,0,2295.0
Christini AWD 450 DS,2020,Enduro / offroad,42.0,0,0,450.0,240.0,0,10599.0
Christini AWD 450 Explorer,2020,Enduro / offroad,42.0,0,0,450.0,240.0,0,10995.0
Christini AWD 450 SM,2020,Super motard,42.0,0,0,450.0,240.0,0,9795.0
Damon Hypersport HS,2020,Prototype / concept model,200.0,0,0,0,0,0,24995.0
Damon Hypersport Premier,2020,Prototype / concept model,200.0,0,0,0,300.0,0,39995.0
Genuine Scooter Buddy Kick,2020,Scooter,0,88.5,0,124.5,0,0,3199.0
Genuine Scooter Buddy Kick,2020,Scooter,0,88.5,0,124.5,0,0,3199.0
Harley-Davidson Breakout 114,2020,Custom / cruiser,100.0,0,161.4,1868.0,0,305.0,20499.0
Harley-Davidson Breakout 114,2020,Custom / cruiser,100.0,0,161.4,1868.0,0,305.0,20499.0
Harley-Davidson CVO Limited,2020,Touring,105.0,0,169.5,1923.0,0,428.2,44039.0
Harley-Davidson CVO Limited,2020,Touring,105.0,0,169.5,1923.0,0,428.2,44039.0
